First Name;Last Name;Email;LinkedIn;University field of study;University attended;Employment industry;Employment role in above mentioned industries;Are you technical?;Gender;Age;Do you have a cofounder?;When do you want to start working on a startup full-time? (months);Fields of knowledge;Level of expertise in fields mentioned above on a 6 - 10 scale;Which areas of a startup are you willing to take responsibility for?;Which topics and industries are you interested in?;Impact areas of interest?;;;;;;;;;;;;;;
Robert;Johnson;robert.johnson@demo.com;https://www.linkedin.com/in/robertjohnson;Mechanical Engineering;UCT;Aerospace, Automotive;Process Engineer;Yes;Other;33;No;24;Logistics;9;Operations;Blockchain, Marketplace, B2B / Enterprise;Circular economy, Finance;;;;;;;;;;;;;;
Emily;Johnson;emily.johnson@demo.com;https://www.linkedin.com/in/emilyjohnson;Mechanical Engineering;UCT;Aerospace, Automotive;Product Manager, Mechanical Engineer;Yes;Male;32;Yes;4;Statistics, Biochemistry;7;Sales and marketing, Operations;Artificial Intelligence;Circular economy;;;;;;;;;;;;;;
John;Doe;john.doe@test.com;https://www.linkedin.com/in/johndoe;Mathematics and Statistics;UCT;IT, Insurance;Quantitative Analyst, Actuary;Yes;Other;25;Yes;21;Insurance;9;Sales and marketing, Operations;Artificial Intelligence;Healthcare;;;;;;;;;;;;;;
John;Martinez;john.martinez@example.com;https://www.linkedin.com/in/johnmartinez;Mathematics and Statistics;UCT;Insurance, Finance, Research;Quantitative Analyst, Actuary;Yes;Female;33;No;5;Insurance;10;Sales and marketing;Climate / Sustainability, B2B / Enterprise, Real Estate / Proptech;Agriculture, Healthcare;;;;;;;;;;;;;;
Sarah;Davis;sarah.davis@demo.com;https://www.linkedin.com/in/sarahdavis;Industrial Engineering;UCT;Logistics;Supply Chain Manager;Yes;Other;35;No;15;Logistics;7;Sales and marketing;B2B / Enterprise;Healthcare, Communications;;;;;;;;;;;;;;
John;Martinez;john.martinez@example.com;https://www.linkedin.com/in/johnmartinez;Agriculture, Agricultural Operations & Related Sciences;UCT;Food Production;Food Scientist;No;Male;26;Yes;4;Insurance;6;Sales and marketing;Marketplace, Artificial Intelligence, Real Estate / Proptech;Infrastructure, Finance, Nutrition;;;;;;;;;;;;;;
Sarah;Miller;sarah.miller@example.com;https://www.linkedin.com/in/sarahmiller;Civil Engineering;UCT;Civil Engineering;Civil Engineer;No;Female;25;Yes;17;Civil Engineering;8;Product;Blockchain;Energy, Agriculture, Communications;;;;;;;;;;;;;;
David;Miller;david.miller@example.com;https://www.linkedin.com/in/davidmiller;Architecture and the Built Environment;UCT;Architecture, Urban Planning;Structural Engineer, Construction Manager;No;Other;35;No;2;Maths, Logistics;8;Product;B2B / Enterprise, Real Estate / Proptech;Agriculture;;;;;;;;;;;;;;
Sarah;Garcia;sarah.garcia@demo.com;https://www.linkedin.com/in/sarahgarcia;Civil Engineering;UCT;Real Estate, Construction;Structural Engineer, Civil Engineer;No;Other;28;No;5;Marketing, Industrial Engineering;9;Product, Operations;Marketplace, Artificial Intelligence;Early childhood development, Healthcare, Circular economy;;;;;;;;;;;;;;
Jessica;Garcia;jessica.garcia@test.com;https://www.linkedin.com/in/jessicagarcia;Physical Sciences;UCT;Environmental Science, Energy, Healthcare;Physicist, Materials Scientist;Yes;Male;26;Yes;15;Maths, Logistics;6;Product;Real Estate / Proptech, Marketplace;Finance, Energy, Nutrition;;;;;;;;;;;;;;
Robert;Jones;robert.jones@example.com;https://www.linkedin.com/in/robertjones;Mechanical Engineering;UCT;Mechanical Engineering, Automotive;Mechanical Engineer, Process Engineer;Yes;Male;23;Yes;11;Mechanical Engineering;7;Sales and marketing, Operations;Real Estate / Proptech;Healthcare, Finance;;;;;;;;;;;;;;
David;Martinez;david.martinez@test.com;https://www.linkedin.com/in/davidmartinez;Mathematics and Statistics;UCT;Insurance;Actuary;Yes;Other;27;No;11;Insurance;6;Sales and marketing;B2B / Enterprise, Artificial Intelligence;Early childhood development, Circular economy, Finance;;;;;;;;;;;;;;
Robert;Davis;robert.davis@demo.com;https://www.linkedin.com/in/robertdavis;Chemical Engineering;UCT;Pharmaceuticals, Environmental Science, Chemical Engineering;Quality Control Engineer, Project Manager;Yes;Male;32;No;21;Chemical Engineering;6;Sales and marketing, Operations;Artificial Intelligence;Communications, Energy, Circular economy;;;;;;;;;;;;;;
Robert;Miller;robert.miller@example.com;https://www.linkedin.com/in/robertmiller;Business, Economics and Management Sciences;UCT;Marketing, Finance;Financial Analyst, Business Analyst;No;Female;33;Yes;4;Marketing;8;Operations, Product;Blockchain, Marketplace;Education, Energy;;;;;;;;;;;;;;
Anna;Martinez;anna.martinez@test.com;https://www.linkedin.com/in/annamartinez;Industrial Engineering;UCT;Logistics;Supply Chain Manager;Yes;Female;35;Yes;21;Logistics;9;Sales and marketing;Climate / Sustainability;Communications;;;;;;;;;;;;;;
John;Doe;john.doe@example.com;https://www.linkedin.com/in/johndoe;Agriculture, Agricultural Operations & Related Sciences;UCT;Agriculture, Food Production;Agronomist, Farm Manager;No;Male;27;No;10;Chemical Engineering, Electrical Engineering;8;Product, Operations;Blockchain;Agriculture, Finance;;;;;;;;;;;;;;
Jane;Jones;jane.jones@example.com;https://www.linkedin.com/in/janejones;Industrial Engineering;UCT;Consulting, Manufacturing, Logistics;Supply Chain Manager, Project Manager;Yes;Female;20;Yes;7;Logistics;10;Sales and marketing;Real Estate / Proptech;Education, Agriculture, Circular economy;;;;;;;;;;;;;;
Jane;Garcia;jane.garcia@demo.com;https://www.linkedin.com/in/janegarcia;Agriculture, Agricultural Operations & Related Sciences;SU;Environmental Science;Food Scientist;No;Other;27;No;11;Marketing;6;Sales and marketing, Product;B2B / Enterprise, Marketplace;Finance, Healthcare;;;;;;;;;;;;;;
Sarah;Miller;sarah.miller@demo.com;https://www.linkedin.com/in/sarahmiller;Physical Sciences;SU;Environmental Science, Research, Healthcare;Research Scientist;Yes;Other;34;No;22;Investments, IT;7;Operations;B2B / Enterprise, Artificial Intelligence;Agriculture;;;;;;;;;;;;;;
Robert;Martinez;robert.martinez@example.com;https://www.linkedin.com/in/robertmartinez;Industrial Engineering;SU;Logistics;Operations Manager;Yes;Other;34;Yes;19;Logistics;7;Operations, Sales and marketing;Real Estate / Proptech, Artificial Intelligence;Energy;;;;;;;;;;;;;;
John;Miller;john.miller@example.com;https://www.linkedin.com/in/johnmiller;Mathematics and Statistics;SU;IT, Finance, Insurance;Statistician, Actuary;Yes;Female;33;Yes;13;IT;7;Sales and marketing, Product;Blockchain;Finance, Agriculture, Early childhood development;;;;;;;;;;;;;;
Robert;Garcia;robert.garcia@test.com;https://www.linkedin.com/in/robertgarcia;Physical Sciences;SU;Environmental Science, Research;Lab Technician;Yes;Male;29;No;4;Business, Electrical Engineering;6;Sales and marketing, Operations;Marketplace;Finance, Circular economy, Infrastructure;;;;;;;;;;;;;;
Sarah;Williams;sarah.williams@test.com;https://www.linkedin.com/in/sarahwilliams;Business, Economics and Management Sciences;SU;Marketing;Business Analyst;No;Other;22;Yes;2;Marketing;7;Product;Climate / Sustainability, Artificial Intelligence;Finance, Nutrition;;;;;;;;;;;;;;
David;Jones;david.jones@test.com;https://www.linkedin.com/in/davidjones;Computer and Information Sciences;SU;Education, Healthcare, IT;Web Developer, System Administrator;Yes;Male;27;No;17;IT;10;Product;Climate / Sustainability;Early childhood development;;;;;;;;;;;;;;
Michael;Davis;michael.davis@test.com;https://www.linkedin.com/in/michaeldavis;Industrial Engineering;SU;Manufacturing;Project Manager;No;Male;26;No;14;IT;6;Sales and marketing, Product;Blockchain, Artificial Intelligence, Marketplace;Education;;;;;;;;;;;;;;
Emily;Smith;emily.smith@test.com;https://www.linkedin.com/in/emilysmith;Civil Engineering;SU;Construction, Civil Engineering;Structural Engineer, Construction Manager;No;Other;32;Yes;20;Civil Engineering;9;Product;Marketplace, Artificial Intelligence, Blockchain;Finance, Infrastructure;;;;;;;;;;;;;;
Robert;Williams;robert.williams@test.com;https://www.linkedin.com/in/robertwilliams;Architecture and the Built Environment;SU;Construction;Urban Planner;No;Female;24;No;6;Statistics, Industrial Engineering;8;Operations, Product;B2B / Enterprise, Marketplace;Circular economy, Early childhood development;;;;;;;;;;;;;;
John;Jones;john.jones@test.com;https://www.linkedin.com/in/johnjones;Mathematics and Statistics;SU;IT, Research, Finance;Statistician, Actuary;Yes;Male;33;No;21;IT;10;Operations, Product;Climate / Sustainability, Real Estate / Proptech;Infrastructure, Nutrition, Energy;;;;;;;;;;;;;;
Anna;Martinez;anna.martinez@example.com;https://www.linkedin.com/in/annamartinez;Psychology;SU;Healthcare;Counselor;No;Male;21;Yes;24;Maths, Business;9;Product;Marketplace, Artificial Intelligence, Real Estate / Proptech;Finance, Agriculture, Healthcare;;;;;;;;;;;;;;
